agent,result
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
backtracking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
forward_checking,"[1, 3, 0, 2]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
forward_checking,"[0, 4, 7, 5, 2, 6, 1, 3]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
backtracking,"[0, 2, 5, 7, 9, 4, 8, 1, 3, 6]"
